synset,pos,gloss,emotion
SID-01060783-N,noun,the action of an armed force that surrounds a fortified place and isolates it while continuing to attack,fear
SID-02670547-A,adjective,"worthy of high praise; ""applaudable efforts to save the environment""; ""a commendable sense of purpose""; ""laudable motives of improving housing conditions""; ""a significant and praiseworthy increase in computer intelligence""",like
SID-07424761-N,noun,experiencing joy and pleasure,joy
SID-08317968-N,noun,a line of people or vehicles waiting for something,disgust
SID-10889980-N,noun,German Nazi dictator during World War II (1889-1945),fear
SID-02151642-A,adjective,"giving satisfaction; ""satisfactory living conditions""; ""his grades were satisfactory""",joy
SID-00908740-A,adjective,"burdened psychologically or mentally; ""laden with grief""; ""oppressed by a sense of failure""",sadness
SID-01312214-V,verb,"cause to die; put to death, usually intentionally or knowingly; ""This man killed several people when he tried to rob a bank""; ""The farmer killed a pig for the holidays""",sadness
SID-01274526-A,adjective,"(used of conduct or character) deserving or bringing disgrace or shame; ""Man...has written one of his blackest records as a destroyer on the oceanic islands""- Rachel Carson; ""an ignominious retreat""; ""inglorious defeat""; ""an opprobrious monument to human greed""; ""a shameful display of cowardice""",disgust
SID-02709008-V,verb,"be distinguished or eminent; ""His talent shines""",like
SID-00788896-V,verb,"show unwillingness towards; ""he declined to join the group on a hike""",disgust
SID-05848643-N,noun,the idea of something that is perfect; something that one hopes to attain,love
SID-02447981-A,adjective,"made necessary by an unexpected situation or emergency; ""a forced landing""",sadness
SID-00238420-A,adjective,"delighting the senses or exciting intellectual or emotional admiration; ""a beautiful child""; ""beautiful country""; ""a beautiful painting""; ""a beautiful theory""; ""a beautiful party""",like
SID-00535462-A,adjective,"properly or sufficiently qualified or capable or efficient; ""a competent typist""",like
SID-01292829-A,adjective,"characteristic of an enemy or one eager to fight; ""aggressive acts against another country""; ""a belligerent tone""",disgust
SID-00298471-A,adjective,"depressingly dark; ""the gloomy forest""; ""the glooming interior of an old inn""; ""`gloomful' is archaic""",sadness
SID-01476588-V,verb,"leave or unload, especially of passengers or cargo;",disgust
SID-00385876-R,adverb,"with jealousy; ""he guarded his privacy jealously""",disgust
SID-08513163-N,noun,the area of a city (such as a harbor or dockyard) alongside a body of water,like
SID-01091179-A,adjective,"physically or spiritually homeless or deprived of security; ""made a living out of shepherding dispossed people from one country to another""- James Stern",sadness
SID-01092578-A,adjective,"deserving regret; ""regrettable remarks""; ""it's regrettable that she didn't go to college""; ""it's too bad he had no feeling himself for church""",sadness
SID-01385003-V,verb,"give a beating to; subject to a beating, either as a punishment or as an act of aggression; ""Thugs beat him up when he walked down the street late at night""; ""The teacher used to beat the students""",fear
SID-01783756-A,adjective,not excusable,anger
SID-00905088-V,verb,utter a shrill cry,sadness
SID-02538008-A,adjective,"troubled persistently especially with petty annoyances; ""harassed working mothers""; ""a harried expression""; ""her poor pestered father had to endure her constant interruptions""; ""the vexed parents of an unruly teenager""",disgust
SID-00332467-V,verb,"become fractured; break or crack on the surface only; ""The glass cracked when it was heated""",disgust
SID-00423370-N,noun,any joyous diversion,joy
SID-00401716-N,noun,the act of bending low with the limbs close to the body,disgust
SID-07111554-N,noun,"a formal and solemn declaration of objection; ""they finished the game under protest to the league president""; ""the senator rose to register his protest""; ""the many protestations did not stay the execution""",disgust
SID-01851879-A,adjective,"having spots or patches (small areas of contrasting color or texture); ""a field patched with ice and snow""; ""the wall had a spotty speckled effect""; ""a black-and-white spotted cow""",disgust
SID-07426971-N,noun,great merriment,joy
SID-14941516-N,noun,"the period during which something is functional (as between birth and death); ""the battery had a short life""; ""he lived a long and happy life""",hope
SID-09994005-N,noun,"a person who has achieved distinction and honor in some field; ""he is one of the greats of American music""",like
SID-00798670-V,verb,"deem wrong or inappropriate; ""I disapprove of her child rearing methods""",disgust
SID-07429269-N,noun,"the feeling you have when you are satisfied with yourself; ""his complacency was absolutely disgusting""",joy
SID-09118348-N,noun,(astronomy) the luminous cloud of particles surrounding the frozen nucleus of a comet; forms as the comet approaches the sun and is warmed,fear
SID-00514142-N,noun,a traveling show; having sideshows and rides and games of skill etc.,like
SID-00748215-N,noun,the calculated use of violence (or threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear,fear
SID-01529540-A,adjective,resolute and without fear,calmness
SID-02426425-A,adjective,"of very poor quality or condition; ""deplorable housing conditions in the inner city""; ""woeful treatment of the accused""; ""woeful errors of judgment""",sadness
SID-02517884-A,adjective,"incapable of being put up with; ""an intolerable degree of sentimentality""",anger
SID-07441654-N,noun,a feeling of love or fondness,love
SID-01014995-A,adjective,"elegant and stylish; ""chic elegance""; ""a smart new dress""; ""a suit of voguish cut""",like
SID-01988704-A,adjective,"full of or characterized by loud and nonmusical sounds; ""a noisy cafeteria""; ""a small noisy dog""",disgust
SID-05682845-N,noun,"the gradual process of acquiring knowledge; ""education is a preparation for life""; ""a girl's education was less important than a boy's""",like
SID-01737538-A,adjective,"far beyond what is usual in magnitude or degree; ""a night of exceeding darkness""; ""an exceptional memory""; ""olympian efforts to save the city from bankruptcy""; ""the young Mozart's prodigious talents""",like
SID-00004383-R,adverb,"in a kind manner or out of kindness; ""He spoke kindly to the boy""; ""she kindly overlooked the mistake""",like
SID-00187746-A,adjective,"attractive especially by means of smallness or prettiness or quaintness; ""a cute kid with pigtails""; ""a cute little apartment""; ""cunning kittens""; ""a cunning baby""",like
SID-02530608-V,verb,"contribute to the progress or growth of; ""I am promoting the use of computers in the classroom""",joy
SID-02098163-A,adjective,"high in mineral content; having a high proportion of fuel to air; ""a rich vein of copper"", ""a rich gas mixture""",like
SID-07431030-N,noun,a feeling of dispirited melancholy,sadness
SID-00711769-V,verb,"look forward to the probable occurrence of; ""We were expecting a visit from our relatives""; ""She is looking to a promotion""; ""he is waiting to be drafted""",anticipation
SID-02522803-A,adjective,"situated at the bottom or lowest position; ""the bottom drawer""",disgust
SID-14317065-N,noun,the physiological state produced by a poison or other toxic substance,fear
SID-01754043-V,verb,"affect emotionally; ""A stirring movie""; ""I was touched by your kind letter of sympathy""",ambiguous
SID-07444959-N,noun,a bloodthirsty hatred arousing murderous impulses,disgust
SID-00379683-R,adverb,"in a confident and unselfconscious manner; ""he acts very securely in front of the camera""",calmness
SID-01810475-V,verb,feel envious towards; admire enviously,disgust
SID-07444256-N,noun,hatred of mankind,disgust
SID-00072611-V,verb,excrete or discharge from the body,ambiguous
SID-02267283-V,verb,"fail to make money in a business; make a loss or fail to profit; ""I lost thousands of dollars on that bad investment!""; ""The company turned a loss after the first year""",disgust
SID-01294766-A,adjective,"favorably disposed; not antagonistic or hostile; ""a government friendly to our interests""; ""an amicable agreement""",like
SID-02436697-A,adjective,not furnishing support or assistance,despair
SID-02251921-V,verb,"take temporary possession of as a security, by legal authority; ""The FBI seized the drugs""; ""The customs agents impounded the illegal shipment""; ""The police confiscated the stolen artwork""",disgust
SID-00066319-N,noun,a failure to maintain a higher state,hope
SID-01546003-A,adjective,"displaying or suggesting a lack of maturity; ""adolescent insecurity""; ""jejune responses to our problems""; ""their behavior was juvenile""; ""puerile jokes""",disgust
SID-05616895-N,noun,"a factor causing trouble in achieving a positive result or tending to produce a negative result; ""serious difficulties were encountered in obtaining a pure reagent""",disgust
SID-01049843-N,noun,"freedom from activity (work or strain or responsibility); ""took his repose by the swimming pool""",anticipation
SID-04840972-N,noun,diligence in keeping clean,like
SID-00326793-R,adverb,"in an ebullient manner; ""Khrushchev ebulliently promised to supply rockets for the protection of Cuba against American aggression""",joy
SID-00903501-V,verb,"utter or declare in a very loud voice; ""You don't have to yell--I can hear you just fine""",disgust
SID-01798547-A,adjective,"enduring trying circumstances with even temper or characterized by such endurance; ""a patient smile""; ""was patient with the children""; ""an exact and patient scientist""; ""please be patient""",calmness
SID-02082371-A,adjective,showing adoration,love
SID-10017050-N,noun,a person who is entitled by law or by the terms of a will to inherit the estate of another,anticipation
SID-07201855-N,noun,"a serious accident (usually involving one or more vehicles); ""they are still investigating the crash of the TWA plane""",disgust
SID-06606972-N,noun,"a tangible symbol signifying approval or distinction; ""an award for bravery""",like
SID-04616729-N,noun,"the trait of acting unpredictably and more from whim or caprice than from reason or judgment; ""I despair at the flightiness and whimsicality of my memory""",surprise
SID-00083590-A,adjective,"filled with fear or apprehension; ""afraid even to turn his head""; ""suddenly looked afraid""; ""afraid for his life""; ""afraid of snakes""; ""afraid to ask questions""",fear
SID-09853627-N,noun,a member of the Democratic Party,hope
SID-00177237-N,noun,"a close affectionate and protective acceptance; ""his willing embrace of new ideas""; ""in the bosom of the family""",love
SID-07404456-N,noun,a painful emotion resulting from an awareness of inadequacy or guilt,disgust
SID-01779411-V,verb,feel remorse for; feel sorry for; be contrite about,sadness
SID-13846459-N,noun,"a state in which martial law applies; ""the governor declared a state of emergency""",fear
SID-07446272-N,noun,"hostile or belligerent mood; ""the chief is on the warpath today""",disgust
SID-01331123-A,adjective,"commanding attention; ""an arresting drawing of people turning into animals""; ""a sensational concert--one never to be forgotten""; ""a stunning performance""",ambiguous
SID-02890177-N,noun,a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage,disgust
SID-01405977-V,verb,"stir vigorously; ""beat the egg whites""; ""beat the cream""",disgust
SID-01045254-A,adjective,"(of materials or goods) brought to the desired final state; ""a finished product""",like
SID-02230669-V,verb,"give money, usually in exchange for goods or services; ""I paid four dollars for this sandwich""; ""Pay the waitress, please""",disgust
SID-04959158-N,noun,"the quality of being luminous; emitting or reflecting light; ""its luminosity is measured relative to that of our sun""",like
SID-00590080-A,adjective,"having similar disposition and tastes; ""a compatible married couple""; ""with their many similar tastes, he found her a most sympathetic companion""",like
SID-00926942-A,adjective,"(usually followed by `for') extremely desirous; ""athirst for knowledge""; ""hungry for recognition""; ""thirsty for informaton""",joy
SID-00036597-R,adverb,"to a moderately sufficient extent or degree; ""the shoes are priced reasonably""; ""he is fairly clever with computers""; ""they lived comfortably within reason""",anticipation
SID-01633371-A,adjective,"suggesting the operation of supernatural influences; ""an eldritch screech""; ""the three weird sisters""; ""stumps...had uncanny shapes as of monstrous creatures""- John Galsworthy; ""an unearthly light""; ""he could hear the unearthly scream of some curlew piercing the din""- Henry Kingsley",disgust
SID-00232065-R,adverb,"showing approval; ""he reviewed the play favorably""",like
SID-01155738-N,noun,"the act of fighting; any contest or struggle; ""a fight broke out at the hockey game""; ""there was fighting in the streets""; ""the unhappy couple got into a terrible scrap""",fear
SID-00091190-N,noun,"recovery or preservation from loss or danger; ""work is the deliverance of mankind""; ""a surgeon's job is the saving of lives""",like
SID-02041119-V,verb,"cause to move fast or to rush or race; ""The psychologist raced the rats through a long maze""",disgust
SID-08096606-N,noun,"the force of policemen and officers; ""the law came looking for him""",anticipation
SID-00085123-N,noun,the act of providing a subsidy,anticipation
SID-00784783-N,noun,a wild and exciting undertaking (not necessarily lawful),like
SID-02432595-V,verb,"place in a grave or tomb; ""Stalin was buried behind the Kremlin wall on Red Square""; ""The pharaohs were entombed in the pyramids""; ""My grandfather was laid to rest last Sunday""",sadness
SID-00463525-R,adverb,"in a concerned and solicitous manner; ""`Don't you feel well?' his mother asked solicitously""",anger
SID-02251527-A,adjective,"having few parts; not complex or complicated or involved; ""a simple problem""; ""simple mechanisms""; ""a simple design""; ""a simple substance""",anticipation
SID-07413455-N,noun,a state of peace and quiet,calmness
SID-01640931-A,adjective,affected with emotional disorder,anger
SID-00190286-R,adverb,"without enthusiasm; showing no enthusiasm; ""the children opened the presents unenthusiastically""",sadness
SID-00986237-V,verb,"make revisions in; ""revise a thesis""",anticipation
SID-00042632-R,adverb,"by bad luck; ""unfortunately it rained all day""; ""alas, I cannot stay""",sadness
SID-03732012-N,noun,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control,fear
SID-03213810-N,noun,a substance that is used as a medicine or narcotic,anticipation
SID-02009637-A,adjective,"aware or expressing awareness of things as they really are; ""a realistic description""; ""a realistic view of the possibilities""; ""a realistic appraisal of our chances""; ""the actors tried to create a realistic portrayal of the Africans""",like
SID-00041742-A,adjective,(of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens,anticipation
SID-01770806-V,verb,"cause annoyance in; disturb, especially by minor irritations; ""Mosquitoes buzzing in my ear really bothers me""; ""It irritates me that she never closes the door after she leaves""",disgust
SID-07427718-N,noun,"a feeling of being intimate and belonging together; ""their closeness grew as the night wore on""",joy
SID-02389840-V,verb,"exert oneself by doing mental or physical work for a purpose or out of necessity; ""I will work hard to improve my grades""; ""she worked hard for better living conditions for the poor""",anticipation
SID-00588355-V,verb,"know how to do or perform something; ""She knows how to knit""; ""Does your husband know how to cook?""",like
SID-02352377-V,verb,"carry out or participate in an activity; be involved in; ""She pursued many activities""; ""They engaged in a discussion""",anticipation
SID-01794298-V,verb,"be optimistic; be full of hope; have hopes; ""I am still hoping that all will turn out well""",hope
SID-09830888-N,noun,someone who is unable to walk normally because of an injury or disability to the legs or back,sadness
SID-01757132-V,verb,"dislike intensely; feel antipathy or aversion towards; ""I hate Mexican food""; ""She detests politicians""",disgust
SID-01758531-V,verb,"be enamored or in love with; ""She loves her husband deeply""",love
SID-14219078-N,noun,"a state of difficulty that needs to be resolved; ""she and her husband are having problems""; ""it is always a job to contact him""; ""urban problems such as traffic congestion and smog""",disgust
SID-07206158-N,noun,a disgraceful event,disgust
SID-02399006-A,adjective,"having strength or power greater than average or expected; ""a strong radio signal""; ""strong medicine""; ""a strong man""",ambiguous
SID-07429110-N,noun,"satisfaction with your (or another's) achievements; ""he takes pride in his son's success""",joy
SID-01025899-A,adjective,"having much flesh (especially fat); ""he hadn't remembered how fat she was""",disgust
SID-00611005-A,adjective,"having a quality that thrusts itself into attention; ""an outstanding fact of our time is that nations poisoned by anti semitism proved less fortunate in regard to their own freedom""; ""a new theory is the most prominent feature of the book""; ""salient traits""; ""a spectacular rise in prices""; ""a striking thing about Picadilly Circus is the statue of Eros in the center""; ""a striking resemblance between parent and child""",anticipation
SID-01844920-V,verb,"come to a stop; ""The car stalled in the driveway""",sadness
SID-02560291-V,verb,try to stir up public opinion,ambiguous
SID-00295499-R,adverb,"in an artful manner; ""he craftily arranged to be there when the decision was announced""; ""had ever circumstances conspired so cunningly?""",disgust
SID-06989205-N,noun,"the basic rhythmic unit in a piece of music; ""the piece has a fast rhythm""; ""the conductor set the beat""",like
SID-00147179-R,adverb,"without hesitation; ""she said yes unhesitatingly""",calmness
SID-00621141-N,noun,a weightlift in which the barbell is lifted to shoulder height and then jerked overhead,like
SID-07448303-N,noun,a malevolent desire for revenge,disgust
SID-03737842-N,noun,container into which liquid is poured to create a given shape when it hardens,disgust
SID-02183304-A,adjective,lacking sensitivity or the capacity for deep feeling,disgust
SID-00444436-R,adverb,"with resignation and acceptance; in a resigned manner; ""resignedly, I telegraphed back that it was all right with me if he insisted""",sadness
SID-04794790-N,noun,the quality of being just or fair,anticipation
SID-13419839-N,noun,"a number that expresses the accomplishment of a team or an individual in a game or contest; ""the score was 7 to 0""",anticipation
SID-02452043-V,verb,"assign a duty, responsibility or obligation to; ""He was appointed deputy manager""; ""She was charged with supervising the creation of a concordance""",disgust
SID-00848923-V,verb,"to express great joy; ""Who cannot exult in Spring?""",joy
SID-00763541-V,verb,present reasons and arguments,anger
SID-02532885-V,verb,"hinder or prevent the progress or accomplishment of; ""His brother blocked him at every turn""",disgust
SID-05698289-N,noun,a terrifying or deeply upsetting dream,fear
SID-02298391-V,verb,"demand payment; ""Will I get charged for this service?""; ""We were billed for 4 nights in the hotel, although we stayed only 3 nights""",disgust
SID-00031311-V,verb,produce laughter,joy
SID-02461572-V,verb,"kill by hanging; ""The murdered was hanged on Friday""",fear
SID-01610884-A,adjective,"slight or limited; especially in degree or intensity or scope; ""a series of death struggles with small time in between""",disgust
SID-06475240-N,noun,"(criminal law) a pleading describing some wrong or offense; ""he was arrested on a charge of larceny""",disgust
SID-01629346-A,adjective,"contrived by art rather than nature; ""artificial flowers""; ""artificial flavoring""; ""an artificial diamond""; ""artificial fibers""; ""artificial sweeteners""",disgust
SID-01161809-N,noun,the act of protesting; a public (often organized) manifestation of dissent,disgust
SID-07421836-N,noun,"a strong feeling of anxiety; ""his worry over the prospect of being fired""; ""it is not work but worry that kills""; ""he wanted to die and end his troubles""",anger
SID-05623609-N,noun,"something providing immaterial assistance to a person or cause or interest; ""the policy found little public support""; ""his faith was all the support he needed""; ""the team enjoyed the support of their fans""",hope
SID-07423354-N,noun,the anxious feeling you have when you have the jitters,anger
SID-14345754-N,noun,"the state of being certain that adverse effects will not be caused by some agent under defined conditions; ""insure the safety of the children""; ""the reciprocal of safety is risk""",calmness
SID-00047638-R,adverb,"to an excessive degree; ""too big""",anticipation
SID-02655924-A,adjective,"ludicrous, foolish; ""gave me a cockamamie reason for not going""; ""wore a goofy hat""; ""a silly idea""; ""some wacky plan for selling more books""",disgust
SID-07419157-N,noun,fear that affects a person about to face an audience,fear
SID-02186766-V,verb,"obtain by purchase; acquire by means of a financial transaction; ""The family purchased a new car""; ""The conglomerate acquired a new company""; ""She buys for the big department store""",like
SID-01090664-A,adjective,"(of events) having extremely unfortunate or dire consequences; bringing ruin; ""the stock market crashed on Black Friday""; ""a calamitous defeat""; ""the battle was a disastrous end to a disastrous campaign""; ""such doctrines, if true, would be absolutely fatal to my theory""- Charles Darwin; ""it is fatal to enter any war without the will to win it""- Douglas MacArthur; ""a fateful error""",fear
SID-01123029-A,adjective,"marked by great fruitfulness; ""fertile farmland""; ""a fat land""; ""a productive vineyard""; ""rich soil""",like
SID-13879788-N,noun,an abrupt failure of function or health,anger
SID-00201400-R,adverb,"without fear; ""fearlessly, he led the troops into combat""",calmness
SID-09409232-N,noun,the visible disembodied soul of a dead person,fear
SID-00213668-A,adjective,"causing consternation; ""appalling conditions""",disgust
SID-00482093-R,adverb,in a timorous and trepid manner,fear
SID-09924996-N,noun,a person who holds extreme views,disgust
SID-00870573-N,noun,the act of perceiving the odor of something,disgust
SID-01449257-A,adjective,not airtight,disgust
SID-00219570-R,adverb,"in a rueful manner; ""`I made a big mistake,' he said ruefully""",sadness
SID-01644842-A,adjective,"offensive or even (of persons) malicious; ""in a nasty mood""; ""a nasty accident""; ""a nasty shock""; ""a nasty smell""; ""a nasty trick to pull""; ""Will he say nasty things at my funeral?""- Ezra Pound",disgust
SID-00860584-A,adjective,"lacking a sense of security or affording no ease or reassurance; ""farmers were uneasy until rain finally came""; ""uneasy about his health""; ""gave an uneasy laugh""; ""uneasy lies the head that wears the crown""; ""an uneasy coalition government""; ""an uneasy calm""; ""an uneasy silence fell on the group""",anger
SID-07447491-N,noun,a feeling of jealous envy (especially of a rival),disgust
SID-00230876-R,adverb,"with much noise or loud and unpleasant sound; ""he blew his nose noisily""",disgust
SID-04632867-N,noun,"the quality of arousing interest; being attractive or something that attracts; ""her personality held a strange attraction for him""",joy
SID-01075157-A,adjective,"relating to or originating in or characteristic of another place or part of the world; ""foreign nations""; ""a foreign accent""; ""on business in a foreign city""",ambiguous
SID-02056371-V,verb,"run away from confinement; ""The convicted murderer escaped from a high security prison""",disgust
SID-00298022-V,verb,make fit for a specific purpose,disgust
SID-00722400-A,adjective,lacking decisiveness of character; unable to act or decide quickly or firmly,fear
SID-01780432-V,verb,"cause to feel sorrow; ""his behavior grieves his mother""",sadness
SID-01168895-A,adjective,"very good; ""he did a bully job""; ""a neat sports car""; ""had a great time at the party""; ""you look simply smashing""",like
SID-03521132-N,noun,"a material effigy that is worshipped; ""thou shalt not make unto thee any graven image""; ""money was his god""",like
SID-00456635-A,adjective,"not clear; not transmitting or reflecting light or radiant energy; ""opaque windows of the jail""; ""opaque to X-rays""",disgust
SID-01571355-A,adjective,"associated with or performed by armed services as contrasted with civilians; ""military police""",disgust
SID-01443454-A,adjective,"limited or below average in number or quantity or magnitude or extent; ""a little dining room""; ""a little house""; ""a small car""; ""a little (or small) group""",ambiguous
SID-08441450-N,noun,a piece of land where waste materials are dumped,disgust
SID-02516818-A,adjective,"not tired; refreshed as by sleeping or relaxing; ""came back rested from her vacation""",like
SID-00639903-A,adjective,"conspicuously or grossly unconventional or unusual; ""restaurants of bizarre design--one like a hat, another like a rabbit""; ""famed for his eccentric spelling""; ""a freakish combination of styles""; ""his off-the-wall antics""; ""the outlandish clothes of teenagers""; ""outre and affected stage antics""",surprise
SID-07387435-N,noun,(psychoanalysis) a Freudian term for sexual urge or desire,like
SID-04724345-N,noun,the quality of being disagreeable and unpleasant,disgust
SID-01509758-A,adjective,"pleasantly full and mellow; ""a rich tenor voice""",like
SID-00959164-N,noun,"the waging of armed conflict against an enemy; ""thousands of people were killed in the war""",fear
SID-01181288-V,verb,"have benefit from; ""enjoy privileges""",joy
SID-07426690-N,noun,a feeling of great (usually exaggerated) elation,joy
SID-00627467-V,verb,"find the solution to  (a problem or question) or understand the meaning of; ""did you solve the problem?""; ""Work out your problems with the boss""; ""this unpleasant situation isn't going to work itself out""; ""did you get it?""; ""Did you get my meaning?""; ""He could not work the math problem""",like
SID-07445217-N,noun,"the feeling of a hostile person; ""he could no longer contain his hostility""",disgust
SID-00267709-R,adverb,"in an assertive manner; ""`I will take care of my own life,' she said assertively""",calmness
SID-00757101-V,verb,"force or impel in an indicated direction; ""I urged him to finish his studies""",anger
SID-00512537-N,noun,"an organized series of acts and performances (usually in one place); ""a drama festival""",joy
SID-01946843-A,adjective,"exaggeratedly proper; ""my straitlaced Aunt Anna doesn't approve of my miniskirts""",disgust
SID-07444631-N,noun,hatred of reasoning,disgust
SID-02964441-N,noun,"a building dedicated to a particular activity; ""they were raising money to build a new center for research""",anticipation
SID-07446107-N,noun,hostile or warlike attitude or nature,disgust
SID-00345286-R,adverb,"in a forlorn manner; ""a single chicken was scratching forlornly in the yard""",sadness
SID-01415922-A,adjective,"sorrowful through loss or deprivation; ""bereft of hope""",sadness
SID-02704517-N,noun,a device or control that is very useful for a particular job,like
SID-00885432-V,verb,"defend, explain, clear away, or make excuses for by reasoning; ""rationalize the child's seemingly crazy behavior""; ""he rationalized his lack of success""",like
SID-01763564-V,verb,"be sorry; used to introduce an unpleasant statement; ""I fear I won't make it to your wedding party""",fear
SID-00353238-R,adverb,"in a grievous manner; ""the resolute but unbroken Germany, grievously wounded but far from destruction, was able to lay the firm foundations for military revival""",sadness
SID-04898063-N,noun,the quality of being bright and sending out rays of light,like
SID-01602857-V,verb,"make or cause to be or to become; ""make a mess in one's office""; ""create a furor""",anticipation
SID-07407864-N,noun,the feeling aroused by something strange and surprising,surprise
SID-01386551-A,adjective,"apprehending and responding with speed and sensitivity; ""a quick mind""; ""a ready wit""",like
SID-00056206-V,verb,"cause_to_be_born; ""My wife had twins yesterday!""",hope
SID-01869306-A,adjective,not pleased; experiencing or manifesting displeasure,disgust
SID-02542275-A,adjective,"free of trouble and worry and care; ""the carefree joys of childhood""; ""carefree millionaires, untroubled financially""",joy
SID-07431646-N,noun,sadness resulting from being forsaken or abandoned,sadness
SID-07395360-N,noun,"a feeling of pleasure and enjoyment; ""I've always had a liking for reading""; ""she developed a liking for gin""",like
SID-07398980-N,noun,admiration for great men (or their memory),like
SID-07415632-N,noun,a feeling of righteous anger,disgust
SID-02152628-A,adjective,providing freedom from worry,joy
SID-00200897-V,verb,"grow worse; ""Conditions in the slum worsened""",disgust
SID-00532877-A,adjective,"able to exist and perform in harmonious or agreeable combination; ""a compatible married couple""; ""her deeds were compatible with her ideology""",like
SID-07418507-N,noun,an overwhelming feeling of fear and anxiety,fear
SID-00267866-R,adverb,"in an unassertive manner; ""unassertively, she always follows her husband's suggestions""",fear
SID-01819900-A,adjective,"done or made using whatever is available; ""crossed the river on improvised bridges""; ""the survivors used jury-rigged fishing gear""; ""the rock served as a makeshift hammer""",disgust
SID-00926095-A,adjective,"feeling or showing no enthusiasm; ""a cold audience""; ""a cold response to the new play""",calmness
SID-02577632-V,verb,"become less tense, less formal, or less restrained, and assume a friendlier manner; ""our new colleague relaxed when he saw that we were a friendly group""",joy
SID-00850132-V,verb,become cheerful,joy
SID-00053693-A,adjective,"(sometimes followed by `to') meeting the requirements especially of a task; ""she had adequate training""; ""her training was adequate""; ""she was adequate to the job""",like
SID-01760206-V,verb,"find enjoyable or agreeable; ""I like jogging""; ""She likes to read Russian novels""",like
SID-00232498-R,adverb,"in an unhappy manner; ""he cheerlessly set out to do the task""",sadness
SID-01631221-A,adjective,"not genuine or real; being an imitation of the genuine article; ""it isn't fake anything; it's real synthetic fur""; ""faux pearls""; ""false teeth""; ""decorated with imitation palm leaves""; ""a purse of simulated alligator hide""",disgust
SID-07408948-N,noun,pleasurable expectation,anticipation
SID-00439982-V,verb,"reduce or cause to be reduced from a solid to a liquid state, usually by heating; ""melt butter""; ""melt down gold""; ""The wax melted in the sun""",disgust
SID-01788355-V,verb,"feel or suffer from the lack of; ""He misses his mother""",sadness
SID-07429554-N,noun,an excessive feeling of self-satisfaction,joy
SID-00166302-R,adverb,"in a serious manner; ""talking earnestly with his son""; ""she started studying snakes in earnest""; ""a play dealing seriously with the question of divorce""",anticipation
SID-00460800-A,adjective,"dazed from or as if from repeated blows; ""knocked silly by the impact""; ""slaphappy with exhaustion""",disgust
SID-07404684-N,noun,"a feeling of shame when you do something immoral; ""he has no conscience about his cruelty""",disgust
SID-09252207-N,noun,"the location in a range of mountains of a geological formation that is lower than the surrounding peaks; ""we got through the pass before it started to snow""",disgust
SID-01402732-V,verb,"deliver a hard blow to; ""The teacher smacked the student who had misbehaved""",fear
SID-00311453-V,verb,"lose in value; ""The dollar depreciated again""",disgust
SID-02005885-A,adjective,"based on or told of in traditional stories; lacking factual basis or historical validity; ""mythical centaurs""; ""the fabulous unicorn""",like
SID-02612325-A,adjective,"having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat; ""a warm body""; ""a warm room""; ""a warm climate""; ""a warm coat""",like
SID-00740623-A,adjective,"reflecting gloom; ""gloomy faces""",sadness
SID-07445636-N,noun,feelings of envy and resentment of one social or economic class for toward another,disgust
SID-00743031-N,noun,a fraudulent business scheme,disgust
SID-07450713-N,noun,sharing the feelings of others (especially feelings of sorrow or anguish),like
SID-00191200-R,adverb,"in a proud manner; ""he walked proudly into town""",joy
SID-00201278-R,adverb,"in fear, ""she hurried down the stairs fearfully""",fear
SID-04636652-N,noun,"a mark or flaw that spoils the appearance of something (especially on a person's body); ""a facial blemish""",disgust
SID-01088419-A,adjective,"having unexpected good fortune; ""other, less fortunate, children died""; ""a fortunate choice""",joy
SID-03474947-N,noun,steering mechanism for a vessel; a mechanical device by which a vessel is steered,hope
SID-07219576-N,noun,a failure to hit (or meet or find etc),sadness
SID-00186632-A,adjective,"pleasing to the eye or mind especially through beauty or charm; ""a remarkably attractive young man""; ""an attractive personality""; ""attractive clothes""; ""a book with attractive illustrations""",like
SID-07441792-N,noun,temporary love of an adolescent,love
SID-07421079-N,noun,a feeling of diffidence and indecision about doing something,fear
SID-07430813-N,noun,a feeling of melancholy apprehension,sadness
SID-01738713-A,adjective,"extreme in degree or extent or amount or impact; ""in a frightful hurry""; ""spent a frightful amount of money""",hate
SID-07435951-N,noun,feeling downcast and disheartened and hopeless,sadness
SID-01346672-A,adjective,"displaying luxury and furnishing gratification to the senses; ""an epicurean banquet""; ""enjoyed a luxurious suite with a crystal chandelier and thick oriental rugs""; ""Lucullus spent the remainder of his days in voluptuous magnificence""; ""a chinchilla robe of sybaritic lavishness""",like
SID-00903141-V,verb,"utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking); ""My grandmother is hard of hearing--you'll have to shout""",disgust
SID-07439690-N,noun,the despair you feel when you have abandoned hope of comfort or success,despair
SID-00015731-R,adverb,"in an unsatisfactory manner; ""He performed unsatisfactorily as a manager""",sadness
SID-00174411-R,adverb,"from on board a vessel into the water; ""they dropped their garbage overboard""",disgust
